term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"facial recognition","facial recognition","396","1000","0.396","",""
"recognition software","recognition software","35","1000","0.035","",""
"recognition cameras","recognition cameras","23","1000","0.023","",""
"recognition tech","recognition tech","11","1000","0.011","",""
"hong kong","hong kong","11","1000","0.011","",""
"artificial intelligence","artificial intelligence","11","1000","0.011","",""
"surveillance cameras","surveillance cameras","8","1000","0.008","",""
"silkie carlo","silkie carlo","7","1000","0.007","",""
"recognition scans","recognition scans","7","1000","0.007","",""
"recognition technologies","recognition technologies","6","1000","0.006","",""
"recognition app","recognition app","6","1000","0.006","",""
"recognition algorithms","recognition algorithms","6","1000","0.006","",""
"ip cameras","ip cameras","6","1000","0.006","",""
"ethnic minorities","ethnic minorities","6","1000","0.006","",""
"ban facial","ban facial","6","1000","0.006","",""
"threatens privacy","threatens privacy","5","1000","0.005","",""
"recognition surveillance","recognition surveillance","5","1000","0.005","",""
"introduce facial","introduce facial","5","1000","0.005","",""
"fingerprint recognition","fingerprint recognition","5","1000","0.005","",""
"copyright getty","copyright getty","5","1000","0.005","",""
"controversial facial","controversial facial","5","1000","0.005","",""
"cameras analytics","cameras analytics","5","1000","0.005","",""
"automated facial","automated facial","5","1000","0.005","",""
"airport facial","airport facial","5","1000","0.005","",""
"wales facial","wales facial","4","1000","0.004","",""
"trialling facial","trialling facial","4","1000","0.004","",""
"san francisco","san francisco","4","1000","0.004","",""
"revenue graph","revenue graph","4","1000","0.004","",""
"recognition wales","recognition wales","4","1000","0.004","",""
"recognition privacy","recognition privacy","4","1000","0.004","",""
"recognition id","recognition id","4","1000","0.004","",""
"recognition biometric","recognition biometric","4","1000","0.004","",""
"gender bias","gender bias","4","1000","0.004","",""
"false matches","false matches","4","1000","0.004","",""
"facebook twitter","facebook twitter","4","1000","0.004","",""
"facebook google","facebook google","4","1000","0.004","",""
"cyber researcher","cyber researcher","4","1000","0.004","",""
"cctv cameras","cctv cameras","4","1000","0.004","",""
"apple's id","apple's id","4","1000","0.004","",""
"analyzed revenue","analyzed revenue","4","1000","0.004","",""
"analytics software","analytics software","4","1000","0.004","",""
"users opt","users opt","3","1000","0.003","",""
"twitter facebook","twitter facebook","3","1000","0.003","",""
"tracking facial","tracking facial","3","1000","0.003","",""
"surveillance recorder","surveillance recorder","3","1000","0.003","",""
"surveillance facial","surveillance facial","3","1000","0.003","",""
"recognition oxford","recognition oxford","3","1000","0.003","",""
"recognition ensure","recognition ensure","3","1000","0.003","",""
"recognition controversial","recognition controversial","3","1000","0.003","",""
"recognition china","recognition china","3","1000","0.003","",""
"recognition afr","recognition afr","3","1000","0.003","",""
"privacy surveillance","privacy surveillance","3","1000","0.003","",""
"photos facebook","photos facebook","3","1000","0.003","",""
"oxford circus","oxford circus","3","1000","0.003","",""
"ml kit","ml kit","3","1000","0.003","",""
"manchester united","manchester united","3","1000","0.003","",""
"japanese cameras","japanese cameras","3","1000","0.003","",""
"intelligence technologies","intelligence technologies","3","1000","0.003","",""
"india surveillance","india surveillance","3","1000","0.003","",""
"id id","id id","3","1000","0.003","",""
"graph japanese","graph japanese","3","1000","0.003","",""
"google facial","google facial","3","1000","0.003","",""
"five-year ban","five-year ban","3","1000","0.003","",""
"fingerprint scanner","fingerprint scanner","3","1000","0.003","",""
"facial-recognition software","facial-recognition software","3","1000","0.003","",""
"facial detection","facial detection","3","1000","0.003","",""
"facebook youtube","facebook youtube","3","1000","0.003","",""
"facebook privacy","facebook privacy","3","1000","0.003","",""
"facebook amazon","facebook amazon","3","1000","0.003","",""
"detection recognition","detection recognition","3","1000","0.003","",""
"cutting-edge facial","cutting-edge facial","3","1000","0.003","",""
"criminals terrorists","criminals terrorists","3","1000","0.003","",""
"clearview ai","clearview ai","3","1000","0.003","",""
"cameras scan","cameras scan","3","1000","0.003","",""
"cameras facial","cameras facial","3","1000","0.003","",""
"cameras britain","cameras britain","3","1000","0.003","",""
"british scientists","british scientists","3","1000","0.003","",""
"biometric facial","biometric facial","3","1000","0.003","",""
"amazon facebook","amazon facebook","3","1000","0.003","",""
"3d facial","3d facial","3","1000","0.003","",""
"â spokesperson","â spokesperson","2","1000","0.002","",""
"youtube twitter","youtube twitter","2","1000","0.002","",""
"wu's invested","wu's invested","2","1000","0.002","",""
"world's facial","world's facial","2","1000","0.002","",""
"workplace surveillance","workplace surveillance","2","1000","0.002","",""
"website airlineprivacy.com","website airlineprivacy.com","2","1000","0.002","",""
"warn posed","warn posed","2","1000","0.002","",""
"visionbanker aims","visionbanker aims","2","1000","0.002","",""
"violent crime","violent crime","2","1000","0.002","",""
"violated privacy","violated privacy","2","1000","0.002","",""
"verify boarding","verify boarding","2","1000","0.002","",""
"users facial","users facial","2","1000","0.002","",""
"users airlines","users airlines","2","1000","0.002","",""
"uploading photos","uploading photos","2","1000","0.002","",""
"unveiled website","unveiled website","2","1000","0.002","",""
"university computer","university computer","2","1000","0.002","",""
"university colorado","university colorado","2","1000","0.002","",""
"uk facial","uk facial","2","1000","0.002","",""
"uk database","uk database","2","1000","0.002","",""
"twitter venmo","twitter venmo","2","1000","0.002","",""
"throws false","throws false","2","1000","0.002","",""
"three-year ban","three-year ban","2","1000","0.002","",""
"thomson reuters","thomson reuters","2","1000","0.002","",""
"tencent ai","tencent ai","2","1000","0.002","",""
"technologies surveillance","technologies surveillance","2","1000","0.002","",""
"technologies facial","technologies facial","2","1000","0.002","",""
"surveillance technologies","surveillance technologies","2","1000","0.002","",""
"surveillance privacy","surveillance privacy","2","1000","0.002","",""
"surveillance pictured","surveillance pictured","2","1000","0.002","",""
"surveillance london","surveillance london","2","1000","0.002","",""
"surveillance imminent","surveillance imminent","2","1000","0.002","",""
"surveillance ed","surveillance ed","2","1000","0.002","",""
"superintelligence stupidity","superintelligence stupidity","2","1000","0.002","",""
"subsequent deployments","subsequent deployments","2","1000","0.002","",""
"stupidity peril","stupidity peril","2","1000","0.002","",""
"stupidity humans","stupidity humans","2","1000","0.002","",""
"stupidity algorithms","stupidity algorithms","2","1000","0.002","",""
"sons farringdon","sons farringdon","2","1000","0.002","",""
"software transphobic","software transphobic","2","1000","0.002","",""
"software throws","software throws","2","1000","0.002","",""
"software rekognition","software rekognition","2","1000","0.002","",""
"software independently","software independently","2","1000","0.002","",""
"snapdragon platforms","snapdragon platforms","2","1000","0.002","",""
"skybiometry api","skybiometry api","2","1000","0.002","",""
"skull viking","skull viking","2","1000","0.002","",""
"sells facial","sells facial","2","1000","0.002","",""
"selfie facial","selfie facial","2","1000","0.002","",""
"scientists battle-hardened","scientists battle-hardened","2","1000","0.002","",""
"scans facial","scans facial","2","1000","0.002","",""
"scanned internet","scanned internet","2","1000","0.002","",""
"scan crowds","scan crowds","2","1000","0.002","",""
"scan china","scan china","2","1000","0.002","",""
"sadiq khan","sadiq khan","2","1000","0.002","",""
"russian cameras","russian cameras","2","1000","0.002","",""
"rollout facial","rollout facial","2","1000","0.002","",""
"robots facial","robots facial","2","1000","0.002","",""
"robotic policemen","robotic policemen","2","1000","0.002","",""
"retrospective facial","retrospective facial","2","1000","0.002","",""
"researchers warn","researchers warn","2","1000","0.002","",""
"researcher pulls","researcher pulls","2","1000","0.002","",""
"researcher canceled","researcher canceled","2","1000","0.002","",""
"rekognition renewed","rekognition renewed","2","1000","0.002","",""
"reflectacles irpair","reflectacles irpair","2","1000","0.002","",""
"recorder overview","recorder overview","2","1000","0.002","",""
"recognition wu's","recognition wu's","2","1000","0.002","",""
"recognition verify","recognition verify","2","1000","0.002","",""
"recognition uk","recognition uk","2","1000","0.002","",""
"recognition trialled","recognition trialled","2","1000","0.002","",""
"recognition threatens","recognition threatens","2","1000","0.002","",""
"recognition suspects","recognition suspects","2","1000","0.002","",""
"recognition scotland","recognition scotland","2","1000","0.002","",""
"recognition schemes","recognition schemes","2","1000","0.002","",""
"recognition policing","recognition policing","2","1000","0.002","",""
"recognition photos","recognition photos","2","1000","0.002","",""
"recognition overtake","recognition overtake","2","1000","0.002","",""
"recognition offenders","recognition offenders","2","1000","0.002","",""
"recognition misidentify","recognition misidentify","2","1000","0.002","",""
"recognition maps","recognition maps","2","1000","0.002","",""
"recognition london's","recognition london's","2","1000","0.002","",""
"recognition iphones","recognition iphones","2","1000","0.002","",""
"recognition iphone","recognition iphone","2","1000","0.002","",""
"recognition identifying","recognition identifying","2","1000","0.002","",""
"recognition framework","recognition framework","2","1000","0.002","",""
"recognition colour","recognition colour","2","1000","0.002","",""
"recognition cctv","recognition cctv","2","1000","0.002","",""
"recognition british","recognition british","2","1000","0.002","",""
"recognition bbc","recognition bbc","2","1000","0.002","",""
"recognition airports","recognition airports","2","1000","0.002","",""
"pushing introduce","pushing introduce","2","1000","0.002","",""
"pulls hacking","pulls hacking","2","1000","0.002","",""
"projector 30,000","projector 30,000","2","1000","0.002","",""
"professor facial","professor facial","2","1000","0.002","",""
"privacy media","privacy media","2","1000","0.002","",""
"privacy freedom","privacy freedom","2","1000","0.002","",""
"privacy facial","privacy facial","2","1000","0.002","",""
"poses liberties","poses liberties","2","1000","0.002","",""
"posed computer","posed computer","2","1000","0.002","",""
"porn actors","porn actors","2","1000","0.002","",""
"policing scotland","policing scotland","2","1000","0.002","",""
"policemen facial","policemen facial","2","1000","0.002","",""
"pixel facial","pixel facial","2","1000","0.002","",""
"pictured scan","pictured scan","2","1000","0.002","",""
"photos videos","photos videos","2","1000","0.002","",""
